book_id,title,publish_date,lang_id,publisher_id
1,The Hunger Games,2008-09-14,1,1
2,Harry Potter and the Order of the Phoenix,2004-09-28,1,2
3,To Kill a Mockingbird,2006-05-23,1,3
4,Pride and Prejudice,2000-10-10,1,4
5,Twilight,2006-09-06,1,5
6,The Book Thief,2006-03-14,1,6
7,Animal Farm,1996-04-28,1,7
8,The Chronicles of Narnia,2002-09-16,1,8
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,2012-09-25,1,9
10,Gone with the Wind,1999-04-01,1,10
11,The Fault in Our Stars,2012-01-10,1,11
12,The Hitchhiker's Guide to the Galaxy,2007-06-23,1,12
13,The Giving Tree,1964-10-07,1,13
14,Wuthering Heights,2002-10-28,1,14
15,The Da Vinci Code,2006-03-28,1,15
16,Memoirs of a Geisha,2005-11-22,1,16
17,The Picture of Dorian Gray,2004-06-01,1,17
18,Alice's Adventures in Wonderland & Through the Looking-Glass,2000-12-01,1,18
19,Jane Eyre,2003-02-04,1,19
20,Les Misérables,1987-03-03,1,7
21,Fahrenheit 451,2011-11-29,1,20
22,Divergent,2012-02-28,1,21
23,Lord of the Flies,1999-10-01,1,22
24,Romeo and Juliet,2004-01-01,1,23
25,The Alchemist,2014-04-15,1,24
26,Crime and Punishment,2002-12-31,1,19
27,The Perks of Being a Wallflower,1999-02-28,1,25
28,The Great Gatsby,2004-09-28,1,26
29,City of Bones,2007-03-27,1,27
30,Ender's Game,2004-09-30,1,28
31,The Help,2009-02-10,1,29
32,Anne of Green Gables,2003-05-06,1,30
33,Harry Potter and the Sorcerer's Stone,2003-11-01,1,31
34,The Little Prince,2000-06-29,1,32
35,Charlotte's Web,2001-10-01,1,33
36,Of Mice and Men,2002-01-08,1,22
37,The Time Traveler's Wife,2013-09-23,1,34
38,Dracula,1986-05-12,1,14
39,Brave New World,1998-09-01,1,35
40,One Hundred Years of Solitude,2003-06-24,1,36
41,The Catcher in the Rye,2001-01-30,1,37
42,The Princess Bride,2003-07-15,1,9
43,The Lightning Thief,2006-03-01,1,38
44,The Secret Garden,1998-09-01,1,39
45,A Thousand Splendid Suns,2007-06-01,1,40
46,A Wrinkle in Time,2017-11-07,1,41
47,A Game of Thrones,2005-08-28,1,42
48,The Adventures of Huckleberry Finn,2002-12-31,1,43
49,The Lovely Bones,2006-09-01,1,5
50,The Outsiders,1997-09-01,1,44
51,Where the Wild Things Are,2000-10-28,1,45
52,Green Eggs and Ham,1988-10-28,1,46
53,The Odyssey,2006-11-30,1,43
54,Life of Pi,2006-08-29,1,47
55,A Tale of Two Cities,2003-10-28,1,22
56,Water for Elephants,2007-05-01,1,48
57,Lolita,1995-10-28,1,19
58,Slaughterhouse-Five,1999-01-12,1,49
59,Frankenstein: The 1818 Text,2018-03-08,1,43
60,The Kite Runner,2004-05-28,1,40
61,The Handmaid's Tale,1998-04-28,1,50
62,The Giver,2006-01-24,1,51
63,Catch-22,2004-09-04,1,20
64,Dune,2019-10-01,1,52
65,The Pillars of the Earth,2002-02-04,1,53
66,The Stand,1990-05-01,1,54
67,The Adventures of Sherlock Holmes,1998-10-22,1,55
68,Watership Down,1975-06-28,1,56
69,Great Expectations,1998-10-28,1,55
70,Little Women,2004-04-06,1,7
71,The Bell Jar,2006-10-28,1,3
72,Harry Potter and the Deathly Hallows,2007-07-21,1,57
73,One Flew Over the Cuckoo's Nest,1963-02-01,1,58
74,Anna Karenina,2012-10-16,1,59
75,Outlander,2005-07-26,1,60
76,My Sister's Keeper,2005-02-01,1,61
77,Matilda,1998-06-01,1,62
78,The Fellowship of the Ring,2073-03-28,1,9
79,The Girl with the Dragon Tattoo,2008-09-16,1,63
80,Rebecca,2013-12-17,1,5
81,1984,2013-09-03,1,64
82,The Color Purple,2019-12-10,1,22
83,A Tree Grows in Brooklyn,2006-05-30,1,13
84,A Clockwork Orange,2019-05-21,1,65
85,The Road,2006-10-02,1,6
86,The Brothers Karamazov,2002-06-14,1,66
87,Angela's Ashes,2005-10-03,1,67
88,Vampire Academy,2007-08-16,1,68
89,Siddhartha,1981-12-01,1,69
90,The Poisonwood Bible,2005-07-05,1,3
91,The Golden Compass,1996-04-16,1,70
92,Don Quixote,2003-02-25,1,22
93,Atlas Shrugged,1999-08-01,1,71
94,Harry Potter and the Prisoner of Azkaban,2004-05-01,1,2
95,The Old Man and the Sea,1996-10-28,1,26
96,The Notebook,2000-01-05,1,72
97,Winnie-the-Pooh,2001-10-01,1,73
98,The Complete Stories and Poems,1984-08-15,1,74
99,Interview with the Vampire,2004-08-31,1,9
100,A Prayer for Owen Meany,1990-10-28,1,75
101,"Moby-Dick or, the Whale",2003-02-21,1,43
102,The Red Tent,1997-10-28,1,76
103,The Secret Life of Bees,2003-01-28,1,22
104,Harry Potter and the Goblet of Fire,2002-09-28,1,77
105,Clockwork Angel,2010-08-31,1,20
106,Harry Potter and the Half-Blood Prince,2006-09-16,1,2
107,And Then There Were None,2004-05-03,1,76
108,Middlesex,2003-09-16,1,78
109,The Stranger,1989-03-28,1,79
110,The Master and Margarita,1996-03-28,1,79
111,The Name of the Wind,2007-04-28,1,80
112,The Shining,1980-07-01,1,81
113,The Adventures of Tom Sawyer,2006-02-28,1,43
114,Eragon,2005-04-28,1,6
115,Charlie and the Chocolate Factory,2005-06-02,1,62
116,Flowers for Algernon,,1,
117,On the Road,1976-01-01,1,22
118,The Metamorphosis,1972-03-01,1,82
119,Looking for Alaska,2006-12-28,1,83
120,The Shadow of the Wind,2005-10-28,1,22
121,The Curious Incident of the Dog in the Night-Time,2004-05-18,1,59
122,The Very Hungry Caterpillar,1994-10-28,1,62
123,Tuesdays with Morrie,2000-10-28,1,84
124,The Unbearable Lightness of Being,2009-10-27,1,67
125,The Name of the Rose,1994-09-28,1,85
126,Where the Red Fern Grows,2000-05-09,1,86
127,Harry Potter and the Chamber of Secrets,1999-06-02,1,57
128,The Godfather,2002-03-01,1,87
129,The Scarlet Letter,2003-02-27,1,22
130,In Cold Blood,1994-10-28,1,59
131,Fight Club,2018-05-01,1,88
132,The Five People You Meet in Heaven,2003-09-23,1,89
133,"Hush, Hush",2009-10-13,1,90
134,The Cat in the Hat,1985-10-28,1,46
135,American Gods,2011-06-21,1,91
136,The Count of Monte Cristo,2003-05-27,1,43
137,Lonesome Dove,1999-10-01,1,92
138,Perfume: The Story of a Murderer,1987-10-28,1,22
139,Holes,2000-09-02,1,77
140,"The Lion, the Witch and the Wardrobe",2005-10-28,1,13
141,Watchmen,2005-10-28,1,93
142,It,1987-10-01,1,94
143,The Last Olympian,2009-05-05,1,95
144,The Little House Collection,2003-10-07,1,56
145,The Divine Comedy,1995-08-01,1,96
146,Peter Pan,2003-10-01,1,97
147,All Quiet on the Western Front,1987-03-12,1,9
148,"The Hobbit, or There and Back Again",2002-08-15,1,98
149,The Compleat Works of Wllm Shkspr (abridged),1994-02-01,1,99
150,Love in the Time of Cholera,2003-10-05,1,79
151,Shadow Kiss,2008-11-13,1,68
152,Insurgent,2012-05-01,1,100
153,The Thorn Birds,2002-10-28,1,56
154,A Walk to Remember,2000-05-24,1,72
155,How the Grinch Stole Christmas!,2004-10-04,1,101
156,The Ultimate Hitchhiker's Guide to the Galaxy,2002-04-28,1,102
157,Atonement,2003-03-28,1,50
158,The Importance of Being Earnest,2005-10-28,1,103
159,"Eat, Pray, Love",2007-02-01,1,40
160,Their Eyes Were Watching God,2006-05-30,1,104
161,The Three Musketeers,2001-02-13,1,4
162,The Wonderful Wizard of Oz,1995-10-28,1,19
163,Frostbite,2008-04-10,1,68
164,Goodnight Moon,2007-01-23,1,8
165,The Lorax,1998-02-24,1,46
166,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",2006-11-28,1,91
167,Blood Promise,2009-08-25,1,68
168,Tess of the D'Urbervilles,2003-01-30,1,43
169,The Good Earth,2009-03-04,1,105
170,Heart of Darkness,2003-10-01,1,106
171,The Battle of the Labyrinth,2008-03-06,1,107
172,A Midsummer Night's Dream,2016-07-28,1,108
173,Clockwork Princess,2013-09-05,1,109
174,The Prophet,2010-01-01,1,110
175,The Mists of Avalon,2001-07-15,1,9
176,The Titan's Curse,2007-05-05,1,62
177,The Sea of Monsters,2006-04-01,1,111
178,The Joy Luck Club,2006-09-21,1,112
179,Alice in Wonderland,2004-09-07,1,113
180,The Call of the Wild,2001-01-01,1,77
181,Jonathan Livingston Seagull,2006-02-07,1,26
182,Madame Bovary,2004-10-28,2,55
183,The Phantom Tollbooth,1996-10-28,1,114
184,Bridge to Terabithia,2009-10-06,1,8
185,The Hunger Games Trilogy Boxset,2010-08-24,1,1
186,"Oh, the Places You'll Go!",1990-01-22,1,46
187,The Girl Who Played with Fire,2009-07-28,1,6
188,The Maze Runner,2009-10-06,1,115
189,The Neverending Story,1997-10-28,1,116
190,Oliver Twist,2003-10-28,1,22
191,Ulysses,1990-10-28,1,59
192,Treasure Island,2001-09-15,1,117
193,Fifty Shades of Grey,2011-05-25,1,59
194,The Clan of the Cave Bear,2016-10-06,1,42
195,A Storm of Swords,2003-03-04,1,42
196,The Canterbury Tales,2003-01-30,1,118
197,The World According to Garp,1999-04-01,1,9
198,A Farewell to Arms,2004-10-28,1,119
199,David Copperfield,2004-10-28,1,19
200,Tote Mädchen lügen nicht,2009-03-16,3,120
201,Wicked: The Life and Times of the Wicked Witch of the West,2000-10-28,1,121
202,Shōgun,2009-02-19,1,122
203,Extremely Loud & Incredibly Close,2006-04-04,1,123
204,Murder on the Orient Express,2007-06-04,1,8
205,His Dark Materials,2003-09-23,1,124
206,A Little Princess,2002-02-26,1,22
207,The Other Boleyn Girl,2003-05-21,1,61
208,Schindler's List,1994-02-17,1,125
209,The Boy in the Striped Pajamas,2006-09-12,1,126
210,Jurassic Park,2012-05-14,1,9
211,Last Sacrifice,2010-12-07,1,68
212,The Night Circus,2011-09-13,1,127
213,Fallen,2009-12-08,1,115
214,The Silmarillion,2004-11-15,1,128
215,The Secret Magdalene,2007-03-27,1,129
216,Beloved,2004-06-08,1,59
217,The Trial,2001-04-09,1,59
218,A Confederacy of Dunces,1994-01-28,1,130
219,The Sun Also Rises,2057-10-28,1,131
220,The Selection,2012-04-24,1,132
221,The Velveteen Rabbit,1987-04-01,1,133
222,Catching Fire,2009-09-01,1,1
223,The Lost Hero,2010-10-12,1,95
224,Throne of Glass,2012-08-07,1,134
225,Spirit Bound,2010-05-18,1,68
226,Clockwork Prince,2011-12-06,1,20
227,The Iliad/The Odyssey,1999-11-01,1,43
228,The Crucible,2003-03-25,1,22
229,Cat's Cradle,1999-10-28,1,19
230,The God of Small Things,1997-10-28,1,135
231,The Wind in the Willows,2005-10-27,1,22
232,The Screwtape Letters,,1,
233,Girl with a Pearl Earring,2005-10-28,1,136
234,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,1984-10-01,1,42
235,A Light in the Attic,2002-10-07,1,137
236,The Silence of the Lambs,2002-10-28,1,119
237,Shiver,2009-08-01,1,1
238,Uglies,2005-02-08,1,138
239,City of Fallen Angels,2011-04-05,1,139
240,Man's Search for Meaning,2006-06-01,1,140
241,She's Come Undone,1998-06-28,1,141
242,The Phantom of the Opera,1987-12-30,1,67
243,Marley and Me: Life and Love With the World's Worst Dog,2005-10-18,1,142
244,Ella Enchanted,1998-09-01,1,143
245,The Wind-Up Bird Chronicle,1997-10-28,1,63
246,Cinder,2012-10-28,1,144
247,The Green Mile,1996-09-01,1,145
248,Blindness,2013-08-23,1,123
249,A Clash of Kings,2002-05-28,1,42
250,The Sound and the Fury,1990-10-28,1,79
251,The Shack,2008-06-20,1,146
252,Marked,2007-05-01,1,76
253,The Guernsey Literary and Potato Peel Pie Society,2018-07-10,1,49
254,For Whom the Bell Tolls,1995-10-28,1,26
255,Fear and Loathing in Las Vegas,1998-06-28,1,147
256,The House of the Spirits,2005-08-30,1,148
257,The Complete Calvin and Hobbes,2005-09-06,1,149
258,Roots: The Saga of an American Family,1977-01-01,1,60
259,Misery,1988-11-01,1,94
260,Howl's Moving Castle,2001-08-01,1,150
261,Stranger in a Strange Land,1991-10-01,1,151
262,Island of the Blue Dolphins,2010-02-08,1,152
263,Midnight Sun [2008 Draft],2008-08-28,1,
264,The Girl Who Kicked the Hornet's Nest,2010-05-23,1,63
265,The Secret History,2004-04-13,1,59
266,White Oleander,2001-09-01,1,5
267,The Diary of a Young Girl,1993-07-28,1,42
268,Delirium,2012-02-07,1,8
